0	1794	1772	1500	1472	1240	1212	1600	1520	1445	1420	1333	1189	1132	1478	1485	1400	1404	1308	1131	953	1227	1361	1249	1082	982	759	834	1206	1195
1	104	120	78	66	81	55	80	98	94	108	77	45	62	120	99	100	124	63	79	41	74	71	79	88	112	54	70	89	105
4	45	79	78	67	93	43	51	56	43	49	36	53	61	51	39	52	29	47	60	44	41	44	51	34	48	33	30	40	30
5	50	43	48	44	48	59	35	38	42	35	34	27	34	34	42	31	19	44	31	33	43	36	21	32	21	36	27	36	27
6	30	64	34	30	31	47	68	29	26	53	31	43	40	53	76	49	31	49	24	36	24	24	31	28	24	28	35	33	33
10	56	49	45	23	32	41	38	46	31	46	32	37	25	31	38	40	47	31	29	24	34	48	31	24	19	35	24	40	21
11	75	46	64	66	52	56	50	46	55	54	67	50	46	51	50	40	56	47	47	48	49	65	42	38	39	38	37	40	40
13	39	51	31	42	52	32	42	43	34	46	47	36	32	42	27	35	38	34	30	26	38	30	26	33	40	31	27	45	33
15	34	32	36	26	27	25	28	43	31	57	37	34	30	34	36	39	49	40	29	33	39	31	43	45	25	29	25	29	30
18	24	29	16	26	21	13	45	22	28	15	30	13	20	19	29	15	29	31	12	12	18	17	16	16	13	18	14	17	16
19	21	29	30	21	18	15	36	19	18	18	15	21	20	25	43	21	23	31	23	26	16	29	19	18	15	15	24	27	15
21	43	35	39	30	28	42	47	42	44	31	38	35	49	40	37	30	36	39	33	31	28	34	36	36	37	26	28	41	34
22	84	49	31	53	25	46	48	48	42	28	57	38	32	40	43	35	40	39	34	32	37	22	45	39	28	23	29	33	30
24	34	30	25	15	14	20	23	28	22	26	25	23	18	22	23	29	17	15	19	15	19	23	20	21	29	12	14	15	27
25	34	24	35	19	20	13	25	27	38	32	19	28	23	16	18	12	14	20	13	15	20	11	16	17	15	15	8	17	11
38	44	34	52	45	24	26	27	47	34	19	31	22	29	32	33	25	21	42	28	15	18	21	23	13	18	12	24	25	31
39	32	30	33	21	21	32	29	44	19	23	24	34	24	38	28	38	23	40	19	19	32	27	32	35	25	22	16	51	40
43	38	28	23	19	21	23	28	18	25	28	19	23	18	37	31	33	44	30	30	34	34	42	27	30	31	19	21	27	52
45	21	22	12	18	17	12	17	16	14	16	12	16	18	17	14	13	12	16	13	10	21	13	13	12	20	21	25	16	13
47	21	19	20	27	14	20	21	27	17	13	13	17	13	21	17	23	13	13	20	16	13	25	14	13	13	13	20	28	19
