263	9	4	7	10	7	6	9	9	9	5	8	4	8	7	5	7	5	7	7	8	6	5	7	4	6	4	4	6	7
274	8	17	18	16	6	7	14	19	10	21	20	15	10	8	12	18	9	13	10	12	6	10	7	5	4	8	2	8	5
276	6	7	7	7	7	8	7	7	9	8	11	7	6	8	7	7	8	8	6	7	7	8	7	7	6	6	6	9	7
278	8	6	6	7	5	6	6	8	9	8	3	9	6	6	6	6	4	5	6	4	8	6	6	4	4	3	5	6	5
290	7	7	6	8	5	6	5	6	10	8	6	5	6	6	7	6	6	6	6	6	6	6	6	7	6	6	5	6	5
296	7	17	6	8	9	5	7	6	8	7	7	7	7	8	8	7	11	8	3	5	12	12	12	12	9	5	10	17	8
307	7	8	7	9	5	6	5	4	4	8	7	8	5	4	9	9	5	9	7	7	9	9	13	7	8	5	3	7	8
330	4	7	5	5	5	5	4	5	8	4	2	5	6	5	6	5	5	7	7	3	6	9	7	2	3	5	6	7	7
333	12	8	9	9	6	8	11	7	14	10	9	7	4	6	9	6	7	9	3	3	4	5	4	4	8	4	4	3	3
338	6	9	7	8	4	9	9	9	10	13	12	12	8	10	15	7	9	4	7	7	9	10	13	12	9	5	6	11	12
341	9	5	9	9	8	8	7	8	11	12	7	9	10	7	9	7	8	5	5	5	5	7	5	6	8	5	4	6	4
343	6	5	9	5	6	8	9	5	7	6	8	6	8	5	5	6	5	10	8	6	5	6	6	5	6	5	5	7	9
361	8	8	9	8	6	5	7	7	6	11	9	8	8	6	9	7	5	4	6	4	5	10	7	4	6	5	6	6	7
372	11	11	7	6	8	6	11	9	4	6	10	6	5	8	7	4	3	4	2	4	4	10	9	2	2	3	2	5	2
378	16	12	14	4	5	17	15	11	11	8	10	16	7	17	8	8	7	16	11	4	9	8	5	5	6	2	3	2	8
384	9	11	5	5	5	9	5	10	6	6	5	4	6	6	4	5	8	7	6	4	5	5	5	6	4	4	4	4	4
415	8	6	6	6	4	5	4	8	5	4	5	4	4	3	4	6	6	6	8	4	6	3	5	4	4	4	4	4	8
430	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5
431	5	5	6	5	5	5	5	4	5	5	5	5	6	5	5	5	5	6	5	7	5	8	7	5	5	4	4	5	4
442	6	4	5	5	5	3	5	11	2	9	8	9	8	6	6	9	8	8	8	8	5	10	8	5	8	5	7	9	3
455	3	3	7	3	3	3	2	3	5	4	3	2	2	4	5	3	2	5	3	4	5	5	2	3	3	3	3	2	1
475	10	5	6	11	6	3	5	5	5	4	3	4	3	2	9	7	5	4	5	3	1	5	5	6	4	3	2	4	2
486	7	4	9	7	6	5	6	4	9	4	6	7	7	7	9	4	4	6	6	9	11	9	11	6	6	8	7	3	11
499	3	5	4	5	3	4	3	4	3	3	4	3	3	4	4	4	4	4	4	4	4	5	4	3	3	3	3	3	5
506	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5
511	6	6	4	4	3	5	4	4	4	4	5	3	3	4	5	4	5	3	3	4	4	6	5	3	3	3	3	4	4
515	6	9	7	3	3	5	4	5	6	5	5	3	4	4	5	5	4	3	6	2	7	7	5	2	2	3	3	5	5
538	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
596	9	7	6	6	4	4	4	6	8	4	6	4	5	4	4	6	2	4	4	6	6	5	6	4	4	1	3	3	4
610	6	3	2	2	2	2	5	2	4	4	5	3	2	5	4	6	4	3	4	2	4	3	2	2	2	2	2	2	3
650	9	8	11	3	9	2	7	6	4	6	4	4	4	8	4	4	6	4	4	3	5	4	9	4	3	6	3	4	4
661	4	5	3	5	3	3	4	4	3	3	6	4	3	3	3	3	5	3	4	4	4	3	4	6	4	3	3	4	3
669	2	3	3	3	3	5	3	4	3	3	3	2	4	4	2	3	4	4	3	3	3	3	3	3	3	3	3	3	2
672	3	7	5	3	4	3	4	2	6	4	3	3	3	5	5	3	3	3	2	3	4	4	2	4	2	2	2	2	3
716	4	3	4	4	3	2	3	3	4	2	3	4	3	3	3	3	2	2	2	3	2	3	2	3	3	2	2	3	2
720	3	4	3	2	3	3	4	3	3	4	3	3	4	4	3	4	3	3	3	3	3	4	3	3	4	3	3	3	4
801	3	4	3	3	3	3	3	4	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3
829	2	3	3	2	2	2	3	3	3	2	2	2	2	3	2	2	2	3	2	2	2	3	3	2	2	2	2	2	2
848	5	6	5	4	5	5	2	6	9	1	5	2	5	6	5	8	10	3	6	7	10	8	5	5	1	2	5	2	3
865	1	4	2	4	6	4	3	6	4	4	2	4	8	6	6	4	6	6	2	2	2	5	4	2	4	2	0	5	3
922	4	4	5	1	2	1	5	3	4	4	2	4	2	2	4	3	5	4	2	2	4	2	5	4	1	2	1	4	4
949	2	3	2	3	3	2	2	2	3	2	2	3	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2
962	2	1	2	3	2	1	1	1	1	1	2	2	1	2	1	1	2	2	1	1	1	2	2	1	2	2	1	1	1
964	2	2	2	2	3	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	3	3	2	2	3	2	2	3	3
